host_genus_species	host_genus	host_sp	host_subsp	host_status_2021	host_order	host_fam	host_continent	zoo_loc2	same_continent	zoo_type	vaccine	v_class	v_fam	v_sp	v_strain	sample_size	sample_size_class	positive_sample	host_pop	collection_year_range	collection_firstyear	collection_lastyear	number_faciliti	blodd_collection	paper_ID	pub_year	paper_per_year	reviewer	issue	search
Connochaetes taurinus	Connochaetes	taurinus		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		4	<=5	1	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Damaliscus pygargus	Damaliscus	pygargus		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		14	<=50	0	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Elaphurus davidianus	Elaphurus	davidianus		EW	Cetartiodactyla	Cervidae	Asia	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		9	<=10	3	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Gazella subgutturosa	Gazella	subgutturosa		VU	Cetartiodactyla	Bovidae	Asia	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		18	<=50	0	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Hemitragus jemlahicus	Hemitragus	jemlahicus		NT	Cetartiodactyla	Bovidae	Asia	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		6	<=10	5	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Hippotragus niger	Hippotragus	niger		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		13	<=50	7	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Kobus leche	Kobus	leche		NT	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		15	<=50	2	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Lama guanicoe	Lama	guanicoe		LC	Cetartiodactyla	Camelidae	South America	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		14	<=50	0	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Moschus moschiferus	Moschus	moschiferus		VU	Cetartiodactyla	Cervidae	Asia	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		12	<=50	0	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Muntiacus reevesi	Muntiacus	reevesi		LC	Cetartiodactyla	Cervidae	Asia	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		3	<=5	1	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Nanger dama	Nanger	dama		CR	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		10	<=10	0	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Oreamnos americanus	Oreamnos	americanus		LC	Cetartiodactyla	Bovidae	North America	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		12	<=50	0	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Oryx gazella	Oryx	gazella		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		16	<=50	6	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Ovibos moschatus	Ovibos	moschatus		LC	Cetartiodactyla	Bovidae	North America	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		10	<=10	8	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Ovis dalli	Ovis	dalli		LC	Cetartiodactyla	Bovidae	North America	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		8	<=10	4	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Ovis orientalis	Ovis	orientalis		NT	Cetartiodactyla	Bovidae	Asia	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		24	<=50	6	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Pseudois nayaur	Pseudois	nayaur		LC	Cetartiodactyla	Bovidae	Asia	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		7	<=10	2	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Redunca fulvorufula	Redunca	fulvorufula		EN	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		6	<=10	1	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Syncerus caffer	Syncerus	caffer		NT	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		21	<=50	1	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Tragelaphus angasii	Tragelaphus	angasii		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		12	<=50	0	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Tragelaphus imberbis	Tragelaphus	imberbis		NT	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		28	<=50	0	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Tragelaphus oryx	Tragelaphus	oryx		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		18	<=50	0	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Tragelaphus spekeii	Tragelaphus	spekii		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		15	<=50	0	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Tragelaphus strepsiceros	Tragelaphus	strepsiceros		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		14	<=50	0	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Vicugna vicugna	Vicugna	vicugna		LC	Cetartiodactyla	Camelidae	South America	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		13	<=50	0	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Panthero leo persica	Panthera	leo	persica	VU	Carnivora	Felidae	Asia	Asia	yes	zoo	no	II	Parvoviridae	feline parvovirus		56	>50	56	captive	1998-1999	1998	1999	6	anesthetized	Ramanathan et al, 2007	2007	2	BP	ok	2022
Panthero leo persica	Panthera	leo	persica	VU	Carnivora	Felidae	Asia	Asia	yes	zoo	no	V	Paramyxoviridae	canine distemper virus		56	>50	49	captive	1998-1999	1998	1999	6	anesthetized	Ramanathan et al, 2007	2007	2	BP	ok	2022
Bison bonasus	Bison	bonasus		NT	Cetartiodactyla	Bovidae	Europe	Europe	yes	reserve	no	V	Bunyaviridae	schmallenberg virus		148	>50	132	captive	2013	2013	2013			Krzysiak et al, 2017	2017	2	JV	not sure if healthy	2022
Bison bonasus	Bison	bonasus		NT	Cetartiodactyla	Bovidae	Europe	Europe	yes	reserve	no	III	Reoviridae	bluetongue virus		32	<=50	18	captive	2013	2013	2013			Krzysiak et al, 2017	2017	2	JV	not sure if healthy	2022
Bison bonasus	Bison	bonasus		NT	Cetartiodactyla	Bovidae	Europe	Europe	yes	reserve	no	III	Reoviridae	epizootic haemorrhagic disease virus		99	>50	0	captive	2013	2013	2013			Krzysiak et al, 2017	2017	2	JV	not sure if healthy	2022
Bos taurus	Bos	taurus		NA	Cetartiodactyla	Bovidae	"Africa; Europe; Asia"	Europe	yes			IV	Flaviviridae	flaviviruses		3	<=5	0	domestic	2002-2019	2002	2019			Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Panthero leo persica	Panthera	leo	persica	VU	Carnivora	Felidae	Asia	Asia	yes	zoo	no	VI	Retroviridae	feline immunodeficiency virus		56	>50	0	captive	1998-1999	1998	1999	6	anesthetized	Ramanathan et al, 2007	2007	2	BP	ok	2022
Panthero leo persica	Panthera	leo	persica	VU	Carnivora	Felidae	Asia	Asia	yes	zoo	no	VI	Retroviridae	feline leukemia virus		56	>50	0	captive	1998-1999	1998	1999	6	anesthetized	Ramanathan et al, 2007	2007	2	BP	ok	2022
Elephas maximus	Elephas	maximus		EN	Proboscidea	Elephantidae	Asia	Europe	no	zoo	no	I	Herpesviridae	elephant endotheliotropic herpesvirus		41	<=50	40	captive	2012	2012	2012	15	not_specified	Hoornweg et al, 2021	2021	3	IBZ	ok	2022
Loxodonta africana	Loxodonta	africana		EN	Proboscidea	Elephantidae	Africa	Europe	no	zoo	no	I	Herpesviridae	elephant endotheliotropic herpesvirus		5	<=5	5	captive	2012	2012	2012	15	not_specified	Hoornweg et al, 2021	2021	3	IBZ	ok	2022
Elephas maximus	Elephas	maximus		EN	Proboscidea	Elephantidae	Asia	Asia	yes	zoo	no	I	Herpesviridae	elephant endotheliotropic herpesvirus		91	>50	44	captive	2000-2020	2000	2020	8	not_specified	Prompiram et al, 2021	2021	5	IBZ	ok	2022
Alces alces alces	Alces	alces	alces	LC	Cetartiodactyla	Cervidae	"Europe; Asia; North America"	Europe	yes	zoo	NA	I	Herpesviridae	equine herpesvirus	1	1	<=5	0	captive	NA	1988	2014	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Alces alces alces	Alces	alces	alces	LC	Cetartiodactyla	Cervidae	"Europe; Asia; North America"	Europe	yes	zoo	NA	I	Herpesviridae	equine herpesvirus	9	1	<=5	0	captive	NA	1988	2014	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Ceratotherium simum	Ceratotherium	sinum		NT	Perissodactyla	Rhinocerotidae	Africa	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	9	64	>50	26	captive	NA	2002	2013	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Ceratotherium simum	Ceratotherium	sinum		NT	Perissodactyla	Rhinocerotidae	Africa	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	1	64	>50	9	captive	NA	2002	2013	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Diceros bicornis	Diceros	bicornis		CR	Perissodactyla	Rhinocerotidae	Africa	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	1	6	<=10	0	captive	NA	2002	2013	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Diceros bicornis	Diceros	bicornis		CR	Perissodactyla	Rhinocerotidae	Africa	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	9	6	<=10	0	captive	NA	2002	2013	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Equus africanus somalicus	Equus	africanus	somalicus	CR	Perissodactyla	Equidae	Africa	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	1	19	<=50	13	captive	NA	1994	2004	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Equus africanus somalicus	Equus	africanus	somalicus	CR	Perissodactyla	Equidae	Africa	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	9	19	<=50	11	captive	NA	1994	2004	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Equus ferus caballus	Equus	ferus	caballus	EN	Perissodactyla	Equidae	"Europe; Asia; Africa; Northern America; South America; Oceania"	Europe	yes	zoo	NA	I	Herpesviridae	equine herpesvirus	1	4	<=5	0	captive	NA	1985	2014	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Equus ferus caballus	Equus	ferus	caballus	EN	Perissodactyla	Equidae	"Europe; Asia; Africa; Northern America; South America; Oceania"	Europe	yes	zoo	NA	I	Herpesviridae	equine herpesvirus	9	4	<=5	0	captive	NA	1985	2014	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Equus grevyi	Equus	grevyi		EN	Perissodactyla	Equidae	Africa	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	1	17	<=50	9	captive	NA	1994	2004	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Equus grevyi	Equus	grevyi		EN	Perissodactyla	Equidae	Africa	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	9	17	<=50	9	captive	NA	1994	2004	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Equus hemionus onager	Equus	hemionus	onager	NT	Perissodactyla	Equidae	Asia	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	1	5	<=5	0	captive	NA	1985	2014	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Equus hemionus onager	Equus	hemionus	onager	NT	Perissodactyla	Equidae	Asia	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	9	5	<=5	0	captive	NA	1985	2014	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Equus kiang	Equus	kiang		LC	Perissodactyla	Equidae	Asia	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	1	3	<=5	0	captive	NA	1985	2014	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Equus kiang	Equus	kiang		LC	Perissodactyla	Equidae	Asia	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	9	3	<=5	0	captive	NA	1985	2014	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Equus quagga boehmi	Equus	quagga	boehmi	NT	Perissodactyla	Equidae	Africa	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	1	39	<=50	24	captive	NA	1994	2004	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Equus quagga boehmi	Equus	quagga	boehmi	NT	Perissodactyla	Equidae	Africa	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	9	39	<=50	21	captive	NA	1994	2004	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Equus quagga boehmi	Equus	quagga	boehmi	NT	Perissodactyla	Equidae	Africa	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	1	32	<=50	0	captive	NA	1994	2004	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Equus quagga boehmi	Equus	quagga	boehmi	NT	Perissodactyla	Equidae	Africa	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	9	32	<=50	0	captive	NA	1994	2004	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Equus africanus asinus	Equus	africanus	asinus	CR	Perissodactyla	Equidae	Africa	Europe	no			IV	Flaviviridae	flaviviruses		2	<=5	0	domestic	2002-2019	2002	2019			Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Equus quagga antiquorum	Equus	quagga	antiquorum	NT	Perissodactyla	Equidae	Africa	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	1	6	<=10	0	captive	NA	1994	2004	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Equus quagga antiquorum	Equus	quagga	antiquorum	NT	Perissodactyla	Equidae	Africa	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	9	6	<=10	0	captive	NA	1994	2004	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Equus quagga chapmani	Equus	quagga	chapmani	NT	Perissodactyla	Equidae	Africa	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	1	1	<=5	0	captive	NA	1994	2004	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Equus quagga chapmani	Equus	quagga	chapmani	NT	Perissodactyla	Equidae	Africa	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	9	1	<=5	0	captive	NA	1994	2004	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Equus zebra hartmannae	Equus	zebra	hartmannae	VU	Perissodactyla	Equidae	Africa	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	9	33	<=50	15	captive	NA	1994	2004	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Equus zebra hartmannae	Equus	zebra	hartmannae	VU	Perissodactyla	Equidae	Africa	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	1	33	<=50	10	captive	NA	1994	2004	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Erythrocebus patas	Erythrocebus	patas		NT	Primates	Cercopithecidae	Africa	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	1	1	<=5	0	captive	NA	2009	2011	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Erythrocebus patas	Erythrocebus	patas		NT	Primates	Cercopithecidae	Africa	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	9	1	<=5	0	captive	NA	2009	2011	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Giraffa camelopardalis	Giraffa	camelopardalis		VU	Cetartiodactyla	Giraffidae	Africa	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	1	10	<=10	0	captive	NA	2009	2011	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Giraffa camelopardalis	Giraffa	camelopardalis		VU	Cetartiodactyla	Giraffidae	Africa	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	9	10	<=10	0	captive	NA	2009	2011	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Hippopotamus amphibious	Hippopotamus	amphibious		VU	Cetartiodactyla	Hippopotamidae	Africa	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	1	1	<=5	0	captive	NA	2009	2011	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Hippopotamus amphibious	Hippopotamus	amphibious		VU	Cetartiodactyla	Hippopotamidae	Africa	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	9	1	<=5	0	captive	NA	2009	2011	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Okapia johnstoni	Okapia	johnstoni		EN	Cetartiodactyla	Giraffidae	Africa	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	1	8	<=10	0	captive	NA	2009	2011	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Okapia johnstoni	Okapia	johnstoni		EN	Cetartiodactyla	Giraffidae	Africa	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	9	8	<=10	0	captive	NA	2009	2011	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Panthera leo krugeri	Panthera	leo	krugeri	VU	Carnivora	Felidae	Africa	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	1	1	<=5	0	captive	NA	2009	2011	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Panthera leo krugeri	Panthera	leo	krugeri	VU	Carnivora	Felidae	Africa	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	9	1	<=5	0	captive	NA	2009	2011	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Papio hamadryas	Papio	hamadryas		LC	Primates	Cercopithecidae	Africa	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	1	1	<=5	0	captive	NA	2009	2011	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Papio hamadryas	Papio	hamadryas		LC	Primates	Cercopithecidae	Africa	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	9	1	<=5	0	captive	NA	2009	2011	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Ursus maritimus	Ursus	maritimus		VU	Carnivora	Ursidae	"North America; Europe; Asia"	Europe	yes	zoo	NA	I	Herpesviridae	equine herpesvirus	1	7	<=10	0	captive	NA	1988	2014	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Ursus maritimus	Ursus	maritimus		VU	Carnivora	Ursidae	"North America; Europe; Asia"	Europe	yes	zoo	NA	I	Herpesviridae	equine herpesvirus	9	7	<=10	0	captive	NA	1988	2014	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Ursus thibetanus	Ursus	thibetanus		VU	Carnivora	Ursidae	Asia	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	1	8	<=10	0	captive	NA	1988	2014	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Lama glama	Lama	glama		NA	Cetartiodactyla	Camelidae	South America	Europe	no			IV	Flaviviridae	flaviviruses		1	<=5	0	domestic	2002-2019	2002	2019			Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Ursus thibetanus	Ursus	thibetanus		VU	Carnivora	Ursidae	Asia	Europe	no	zoo	NA	I	Herpesviridae	equine herpesvirus	9	8	<=10	0	captive	NA	1988	2014	43	not_specified	Abdelgawad et al, 2015	2015	1	JV	ok	2022
Herpailurus yagouaroundi	Herpailurus	yagouaroundi		LC	Carnivora	Felidae	North America, South America	South America	yes	zoo	no	VI	Retroviridae	feline leukemia virus		23	<=50	2	captive	2003-2007	2003	2007	1	anesthetized	Filoni et al, 2017	2017	1	JV	ok	2022
Ammotragus lervia	Ammotragus	lervia		VU	Cetartiodactyla	Bovidae	Africa	Asia	no	zoo	no	IV	Caliciviridae	hepatitis e virus		1	<=5	0	captive	2005-2010	2005	2010	1	not_specified	Song et al, 2013	2013	2	JV	ok	2022
Antidorcas marsupialis	Antidorcas	marsupialis		LC	Cetartiodactyla	Bovidae	Africa	Asia	no	zoo	no	IV	Caliciviridae	hepatitis e virus		1	<=5	0	captive	2005-2010	2005	2010	1	not_specified	Song et al, 2013	2013	2	JV	ok	2022
Axis porcinus	Axis	porcinus		EN	Cetartiodactyla	Cervidae	Asia	Asia	yes	zoo	no	IV	Caliciviridae	hepatitis e virus		3	<=5	0	captive	2005-2010	2005	2010	1	not_specified	Song et al, 2013	2013	2	JV	ok	2022
Bison bison	Bison	bison		NT	Cetartiodactyla	Bovidae	North America	Asia	no	zoo	no	IV	Caliciviridae	hepatitis e virus		2	<=5	2	captive	2005-2010	2005	2010	1	not_specified	Song et al, 2013	2013	2	JV	ok	2022
Camelus dromedarius	Camelus	dromedarius		LC	Cetartiodactyla	Camelidae	"Africa; Asia"	Asia	yes	zoo	no	IV	Caliciviridae	hepatitis e virus		3	<=5	0	captive	2005-2010	2005	2010	1	not_specified	Song et al, 2013	2013	2	JV	ok	2022
Capra falconeri	Capra	falconeri		NT	Cetartiodactyla	Bovidae	Asia	Asia	yes	zoo	no	IV	Caliciviridae	hepatitis e virus		6	<=10	0	captive	2005-2010	2005	2010	1	not_specified	Song et al, 2013	2013	2	JV	ok	2022
Capra ibex	Capra	ibex		LC	Cetartiodactyla	Bovidae	Europe	Asia	no	zoo	no	IV	Caliciviridae	hepatitis e virus		1	<=5	0	captive	2005-2010	2005	2010	1	not_specified	Song et al, 2013	2013	2	JV	ok	2022
Capreolus pygargus	Capreolus	pygargus		LC	Cetartiodactyla	Cervidae	"Europe; Asia"	Asia	yes	zoo	no	IV	Caliciviridae	hepatitis e virus		1	<=5	0	captive	2005-2010	2005	2010	1	not_specified	Song et al, 2013	2013	2	JV	ok	2022
Caracal caracal	Caracal	caracal		LC	Carnivora	Felidae	Africa	Asia	no	zoo	no	IV	Caliciviridae	hepatitis e virus		1	<=5	0	captive	2005-2010	2005	2010	1	not_specified	Song et al, 2013	2013	2	JV	ok	2022
Cercocebus torquatus	Cercocebus	torquatus		EN	Primates	Cercopithecidae	Africa	Asia	no	zoo	no	IV	Caliciviridae	hepatitis e virus		1	<=5	0	captive	2005-2010	2005	2010	1	not_specified	Song et al, 2013	2013	2	JV	ok	2022
Cervus canadensis	Cervus	canadensis		LC	Cetartiodactyla	Cervidae	"Europe; Asia; North America"	Asia	yes	zoo	no	IV	Caliciviridae	hepatitis e virus		13	<=50	9	captive	2005-2010	2005	2010	1	not_specified	Song et al, 2013	2013	2	JV	ok	2022
Cervus elaphus	Cervus	elaphus		LC	Cetartiodactyla	Cervidae	"Europe; Asia; North America"	Asia	yes	zoo	no	IV	Caliciviridae	hepatitis e virus		11	<=50	7	captive	2005-2010	2005	2010	1	not_specified	Song et al, 2013	2013	2	JV	ok	2022
Cervus nippon taiouanus	Cervus	nippon	taiouanus	LC	Cetartiodactyla	Cervidae	Asia	Asia	yes	zoo	no	IV	Caliciviridae	hepatitis e virus		7	<=10	5	captive	2005-2010	2005	2010	1	not_specified	Song et al, 2013	2013	2	JV	ok	2022
Cervus nippon yezoensis	Cervus	nippon	yezoensis	LC	Cetartiodactyla	Cervidae	Asia	Asia	yes	zoo	no	IV	Caliciviridae	hepatitis e virus		8	<=10	2	captive	2005-2010	2005	2010	1	not_specified	Song et al, 2013	2013	2	JV	ok	2022
Cervus nippon yakusimae	Cervus	nippon	yakusimae	LC	Cetartiodactyla	Cervidae	Asia	Asia	yes	zoo	no	IV	Caliciviridae	hepatitis e virus		11	<=50	0	captive	2005-2010	2005	2010	1	not_specified	Song et al, 2013	2013	2	JV	ok	2022
Cervus nippon nippon	Cervus	nippon	nippon	LC	Cetartiodactyla	Cervidae	Asia	Asia	yes	zoo	no	IV	Caliciviridae	hepatitis e virus		6	<=10	0	captive	2005-2010	2005	2010	1	not_specified	Song et al, 2013	2013	2	JV	ok	2022
Dama dama	Dama	dama		LC	Cetartiodactyla	Cervidae	Europe	Asia	no	zoo	no	IV	Caliciviridae	hepatitis e virus		14	<=50	6	captive	2005-2010	2005	2010	1	not_specified	Song et al, 2013	2013	2	JV	ok	2022
Dolichotis patagonum	Dolichotis	patagonum		NT	Rodentia	Caviidae	South America	Asia	no	zoo	no	IV	Caliciviridae	hepatitis e virus		2	<=5	0	captive	2005-2010	2005	2010	1	not_specified	Song et al, 2013	2013	2	JV	ok	2022
Elaphurus davidianus	Elaphurus	davidianus		EW	Cetartiodactyla	Cervidae	Asia	Asia	yes	zoo	no	IV	Caliciviridae	hepatitis e virus		6	<=10	0	captive	2005-2010	2005	2010	1	not_specified	Song et al, 2013	2013	2	JV	ok	2022
Equus caballus przewalskii	Equus	caballus	przewalskii	EN	Perissodactyla	Equidae	"Asia; Europe"	Asia	yes	zoo	no	IV	Caliciviridae	hepatitis e virus		1	<=5	1	captive	2005-2010	2005	2010	1	not_specified	Song et al, 2013	2013	2	JV	ok	2022
