host_genus_species	host_genus	host_sp	host_subsp	host_status_2021	host_order	host_fam	host_continent	zoo_loc2	same_continent	zoo_type	vaccine	v_class	v_fam	v_sp	v_strain	sample_size	sample_size_class	positive_sample	host_pop	collection_year_range	collection_firstyear	collection_lastyear	number_faciliti	blodd_collection	paper_ID	pub_year	paper_per_year	reviewer	issue	search
Leontopithecus rosalia	Leontopithecus	rosalia		EN	Primates	Callitrichidae	South America	South America	yes	research_facility	no	VI	Retroviridae	simian foamy virus		5	<=5	2	captive	NA	NA	NA	2	anesthetized	Muniz et al, 2015	2015	8	BP	ok	2022
Equus africanus asinus	Equus	africanus	asinus	CR	Perissodactyla	Equidae	Africa	Europe	no			I	Herpesviridae	equine herpesvirus	1	12	<=50	4	domestic		2012	2014			Abdelgawad et al, 2016	2016	1	PVL	ok	2022
Mico chrysoleucus	Mico	chrysoleucus		LC	Primates	Callitrichidae	South America	South America	yes	research_facility	no	VI	Retroviridae	simian foamy virus		2	<=5	0	captive	NA	NA	NA	2	anesthetized	Muniz et al, 2015	2015	8	BP	ok	2022
Equus africanus asinus	Equus	africanus	asinus	CR	Perissodactyla	Equidae	Africa	Europe	no			I	Herpesviridae	equine herpesvirus	9	12	<=50	0	domestic		2012	2014			Abdelgawad et al, 2016	2016	1	PVL	ok	2022
Mico humeralifer	Mico	humeralifer		NT	Primates	Callitrichidae	South America	South America	yes	research_facility	no	VI	Retroviridae	simian foamy virus		1	<=5	1	captive	NA	NA	NA	2	anesthetized	Muniz et al, 2015	2015	8	BP	ok	2022
Equus quagga	Equus	quagga		NT	Perissodactyla	Equidae	Africa	Europe	no			I	Herpesviridae	equine herpesvirus	1	41	<=50	23	wild		2012	2014			Abdelgawad et al, 2016	2016	1	PVL	ok	2022
Equus quagga	Equus	quagga		NT	Perissodactyla	Equidae	Africa	Europe	no			I	Herpesviridae	equine herpesvirus	9	41	<=50	10	wild		2012	2014			Abdelgawad et al, 2016	2016	1	PVL	ok	2022
Loxodonta africana	Loxodonta	africana		EN	Proboscidea	Elephantidae	Africa	Europe	no			I	Herpesviridae	equine herpesvirus	1	10	<=10	0	wild		2012	2014			Abdelgawad et al, 2016	2016	1	PVL	ok	2022
Loxodonta africana	Loxodonta	africana		EN	Proboscidea	Elephantidae	Africa	Europe	no			I	Herpesviridae	equine herpesvirus	9	10	<=10	0	wild		2012	2014			Abdelgawad et al, 2016	2016	1	PVL	ok	2022
Elephas maximus	Elephas	maximus		EN	Proboscidea	Elephantidae	Asia	Asia	yes			I	Herpesviridae	elephant endotheliotropic herpesvirus		994	>50	322	domestic	2010-2015	2010	2015			Angkawanish et al, 2019	2019	1	PVL	ok	2022
Pithecia monachus	Pithecia	monachus		LC	Primates	Pitheciidae	South America	South America	yes	research_facility	no	VI	Retroviridae	simian foamy virus		1	<=5	0	captive	NA	NA	NA	2	anesthetized	Muniz et al, 2015	2015	8	BP	ok	2022
Saguinus bicolor	Saguinus	bicolor		LC	Primates	Callitrichidae	South America	South America	yes	research_facility	no	VI	Retroviridae	simian foamy virus		2	<=5	0	captive	NA	NA	NA	2	anesthetized	Muniz et al, 2015	2015	8	BP	ok	2022
Saguinus midas	Saguinus	midas		LC	Primates	Callitrichidae	South America	South America	yes	research_facility	no	VI	Retroviridae	simian foamy virus		4	<=5	1	captive	NA	NA	NA	2	anesthetized	Muniz et al, 2015	2015	8	BP	ok	2022
Saimiri sciureus	Saimiri	sciureus		LC	Primates	Cebidae	South America	South America	yes	zoo	no	VI	Retroviridae	simian foamy virus		5	<=5	3	captive	NA	NA	NA	2	anesthetized	Muniz et al, 2015	2015	8	BP	ok	2022
Saimiri sciureus	Saimiri	sciureus		LC	Primates	Cebidae	South America	South America	yes	research_facility	no	VI	Retroviridae	simian foamy virus		1	<=5	0	captive	NA	NA	NA	2	anesthetized	Muniz et al, 2015	2015	8	BP	ok	2022
Sapajus apella	Sapajus	apella		LC	Primates	Cebidae	South America	South America	yes	zoo	no	VI	Retroviridae	simian foamy virus		13	<=5	13	captive	NA	NA	NA	2	anesthetized	Muniz et al, 2015	2015	8	BP	ok	2022
Sapajus apella	Sapajus	apella		LC	Primates	Cebidae	South America	South America	yes	research_facility	no	VI	Retroviridae	simian foamy virus		2	<=5	1	captive	NA	NA	NA	2	anesthetized	Muniz et al, 2015	2015	8	BP	ok	2022
Sapajus flavius	Sapajus	flavius		LC	Primates	Cebidae	South America	South America	yes	zoo	no	VI	Retroviridae	simian foamy virus		4	<=5	3	captive	NA	NA	NA	2	anesthetized	Muniz et al, 2015	2015	8	BP	ok	2022
Sapajus robustus	Sapajus	robustus		LC	Primates	Cebidae	South America	South America	yes	zoo	no	VI	Retroviridae	simian foamy virus		4	<=5	3	captive	NA	NA	NA	2	anesthetized	Muniz et al, 2015	2015	8	BP	ok	2022
Sapajus robustus	Sapajus	robustus		LC	Primates	Cebidae	South America	South America	yes	research_facility	no	VI	Retroviridae	simian foamy virus		6	<=5	4	captive	NA	NA	NA	2	anesthetized	Muniz et al, 2015	2015	8	BP	ok	2022
Sapajus xanthosternos	Sapajus	xanthosternos		CR	Primates	Cebidae	South America	South America	yes	zoo	no	VI	Retroviridae	simian foamy virus		9	<=5	7	captive	NA	NA	NA	2	anesthetized	Muniz et al, 2015	2015	8	BP	ok	2022
Sapajus xanthosternos	Sapajus	xanthosternos		CR	Primates	Cebidae	South America	South America	yes	research_facility	no	VI	Retroviridae	simian foamy virus		10	<=10	7	captive	NA	NA	NA	2	anesthetized	Muniz et al, 2015	2015	8	BP	ok	2022
Addax nasomaculatus	Addax	nasomaculatus		CR	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		13	<=50	2	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Aepyceros melampus	Aepyceros	melampus		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		21	<=50	1	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Alcelaphus buselaphus	Alcelaphus	buselaphus		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		4	<=5	3	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Ammotragus lervia	Ammotragus	lervia		VU	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		41	<=50	30	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Antidorcas marsupialis	Antidorcas	marsupialis		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		17	<=50	0	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Antilope cervicapra	Antilope	cervicapra		LC	Cetartiodactyla	Bovidae	Asia	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		45	<=50	1	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Axis axis	Axis	axis		LC	Cetartiodactyla	Cervidae	Asia	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		16	<=50	0	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Bison bison	Bison	bison		NT	Cetartiodactyla	Bovidae	North America	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		14	<=50	2	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Bison bonasus	Bison	bonasus		NT	Cetartiodactyla	Bovidae	Europe	Europe	yes	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		16	<=50	1	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Budorcas taxicolor	Budorcas	taxicolor		VU	Cetartiodactyla	Bovidae	Asia	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		11	<=50	0	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Capra aegagrus	Capra	aegagrus		NT	Cetartiodactyla	Bovidae	Asia	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		9	<=10	8	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Capra falconeri	Capra	falconeri		NT	Cetartiodactyla	Bovidae	Asia	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		11	<=50	9	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Capra ibex	Capra	ibex		LC	Cetartiodactyla	Bovidae	Europe	Europe	yes	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		15	<=50	3	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Cervus elaphus	Cervus	elaphus		LC	Cetartiodactyla	Cervidae	"Europe; Asia; Africa"	Europe	yes	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		14	<=50	7	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
Cervus nippon	Cervus	nippon		LC	Cetartiodactyla	Cervidae	Asia	Europe	no	zoo	no	I	Herpesviridae	malignant catarrhal fever associated-viruses		36	<=50	9	captive	1998-2005	1998	2005	11	anesthetized	Probst et al, 2011	2011	1	BP	ok	2022
