host_genus_species	host_genus	host_sp	host_subsp	host_status_2021	host_order	host_fam	host_continent	zoo_loc2	same_continent	v_class	v_fam	v_sp	v_strain	seroprevalence	sample_size	sample_size_class	positive_sample	host_pop	collection_year_range	collection_firstyear	collection_lastyear	paper_ID	pub_year	paper_per_year	reviewer
Equus hemionus onager	Equus	hemionus	onager	NT	Perissodactyla	Equidae	Asia	Europe	no	I	Herpesviridae	equine herpesvirus	1	0	5	<=5	0	captive	NA	1985	2014	Abdelgawad et al, 2015	2015	1	JV
Equus hemionus onager	Equus	hemionus	onager	NT	Perissodactyla	Equidae	Asia	Europe	no	I	Herpesviridae	equine herpesvirus	9	0	5	<=5	0	captive	NA	1985	2014	Abdelgawad et al, 2015	2015	1	JV
Equus kiang	Equus	kiang		LC	Perissodactyla	Equidae	Asia	Europe	no	I	Herpesviridae	equine herpesvirus	1	0	3	<=5	0	captive	NA	1985	2014	Abdelgawad et al, 2015	2015	1	JV
Equus kiang	Equus	kiang		LC	Perissodactyla	Equidae	Asia	Europe	no	I	Herpesviridae	equine herpesvirus	9	0	3	<=5	0	captive	NA	1985	2014	Abdelgawad et al, 2015	2015	1	JV
Equus quagga	Equus	quagga		NT	Perissodactyla	Equidae	Africa	Africa	yes	I	Herpesviridae	equine herpesvirus	1	78.04878049	41	<=50	32	wild	NA	1985	2014	Abdelgawad et al, 2015	2015	1	JV
Equus quagga	Equus	quagga		NT	Perissodactyla	Equidae	Africa	Africa	yes	I	Herpesviridae	equine herpesvirus	9	85.36585366	41	<=50	35	wild	NA	1985	2014	Abdelgawad et al, 2015	2015	1	JV
Equus quagga antiquorum	Equus	quagga	antiquorum	NT	Perissodactyla	Equidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	1	0	6	<=10	0	captive	NA	1994	2004	Abdelgawad et al, 2015	2015	1	JV
Equus quagga antiquorum	Equus	quagga	antiquorum	NT	Perissodactyla	Equidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	9	0	6	<=10	0	captive	NA	1994	2004	Abdelgawad et al, 2015	2015	1	JV
Equus quagga boehmi	Equus	quagga	boehmi	NT	Perissodactyla	Equidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	1	0	32	<=50	0	captive	NA	1994	2004	Abdelgawad et al, 2015	2015	1	JV
Equus quagga boehmi	Equus	quagga	boehmi	NT	Perissodactyla	Equidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	9	0	32	<=50	0	captive	NA	1994	2004	Abdelgawad et al, 2015	2015	1	JV
Equus quagga boehmi	Equus	quagga	boehmi	NT	Perissodactyla	Equidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	1	61.53846154	39	<=50	24	captive	NA	1994	2004	Abdelgawad et al, 2015	2015	1	JV
Equus quagga boehmi	Equus	quagga	boehmi	NT	Perissodactyla	Equidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	9	53.84615385	39	<=50	21	captive	NA	1994	2004	Abdelgawad et al, 2015	2015	1	JV
Equus quagga chapmani	Equus	quagga	chapmani	NT	Perissodactyla	Equidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	1	0	1	<=5	0	captive	NA	1994	2004	Abdelgawad et al, 2015	2015	1	JV
